text,topic_ix
"Really appreciate how you jumped in to help the team when we were behind. You made a real difference.",0
"Thanks for always being willing to pair on tough problems. It makes the work so much better.",0
"You brought the whole group together during a stressful sprint. Couldn't have done it without you.",0
"Your willingness to share knowledge openly makes this team stronger every day.",0
"You stayed late to help me debug that issue and I really appreciated it.",0
"The way you coordinated between the two teams was seamless. Great work.",0
"You always make sure everyone's voice gets heard in meetings. That means a lot.",0
"Thanks for covering for me while I was out. You handled everything perfectly.",0
"Your collaboration on that project made the final result so much better than it would have been otherwise.",0
"You have a gift for bringing people together and getting everyone aligned.",0
"I noticed how you made sure the new teammate felt included right away. That was kind and thoughtful.",0
"Thanks for looping me in early — that kind of communication makes teamwork so much smoother.",0
"You went out of your way to help another team understand our codebase. That's real teamwork.",0
"Your cross-functional work this quarter was outstanding. You bridged two teams that rarely collaborate.",0
"Thanks for always being available to brainstorm. Your input consistently makes our solutions better.",0
"You led that group effort with patience and clarity. Everyone came away feeling good about the outcome.",0
"I really value how you check in with teammates proactively rather than waiting for things to break down.",0
"The way you handled the conflict between the two teams was impressive. You kept things professional and productive.",0
"You always follow through on commitments to the team. It builds so much trust.",0
"Thanks for picking up the slack when two of us were out sick. You didn't have to do that.",0
"Your ability to translate between technical and non-technical teammates is a huge asset.",0
"You made onboarding so much easier for me by being patient and generous with your time.",0
"That collaborative doc you put together helped the whole team get on the same page fast.",0
"You never make people feel dumb for asking questions. That makes collaboration so much easier.",0
"Thanks for coordinating the cross-team review. It could have been chaotic but you made it smooth.",0
"Your energy in group problem-solving sessions is contagious. You push the whole team forward.",0
"I appreciate how you give credit to others openly. It creates a really positive team culture.",0
"You stepped up to facilitate the retro when no one else volunteered. That was leadership.",0
"The way you handled disagreements in that meeting was really mature and effective.",0
"You always bring people along rather than just running ahead. That's rare and valuable.",0
"Thanks for sharing your notes after the meeting. Small things like that make a big difference.",0
"You were so generous with your expertise during the planning session. Everyone benefited.",0
"Your ability to de-escalate tension in a group setting is genuinely impressive.",0
"I appreciate that you always ask how you can help before diving in. It shows real team awareness.",0
"You did a great job getting two very different personalities to collaborate productively.",0
"Thanks for advocating for the team in that stakeholder meeting. You represented us well.",0
"You've made it so much easier to work across departments this quarter. Thank you.",0
"The way you supported your teammates through the product launch was exceptional.",0
"I love how you always make time to review others' work even when you're busy.",0
"You helped unblock three different people this week without any fanfare. That's the kind of teammate everyone wants.",0
"Your feedback is always constructive and kind. It makes collaboration feel safe.",0
"Thanks for being so responsive when the team needed quick answers. You kept things moving.",0
"You flagged that dependency issue before it became a problem for the whole team. Great communication.",0
"The sync you organized between our teams was long overdue and really productive. Thanks for making it happen.",0
"You're always thinking about how decisions affect the rest of the team, not just your own work.",0
"Thanks for being patient with me while I was getting up to speed. It made a huge difference.",0
